email_text,true_label,predicted_label,predicted_label_confidence,prob_true_label
"change your settings: http://blo.gs/settings.phphere is your list of updated weblogs.Oct 04, 2002 3:03am
    love-always.net
      http://love-always.net/
    Michael's Cyber Journal
      http://weblog.michaelpark.net/
    Jesus Christ
      http://JesusChrist.nelson.org.nz/
    Roger Jones' Manila Weblog
      http://radio.weblogs.com/0110495/categories/rogerJonesManilaWeblog/
    Venezuela
      http://blogs.salon.com/0001330/categories/venezuela/
    The Devil's Excrement
      http://blogs.salon.com/0001330/
    Life begins at 40, change IS the constant
      http://pagandenman.blogspot.com/
    fast fiction
      http://fastfiction.blogspot.com/
    A Secular Perspective
      http://www.bunda.org/writings
    Neuroprosthesis News
      http://www.neuroprosthesis.org/blogger.html
    www.badassgeek.com
      http://www.badassgeek.com/index.xml
    Andy's Chest
      http://www.andyschest.com/
    MF&A International
      http://www.marciafeldman.com/html/news.shtml
    Tkey's Wor",Safe Email,Phishing Email,0.996874,0.003126
"CNET | DOWNLOAD DISPATCH(Mac Edition)
July 9, 2002
Vol. 7, No. 27Using a Mac and today's music software, musicians are finding
that they can create, record, and master their songs without
the need to pay for expensive studio time. Deck, our Pick of
the Week, offers a multitrack audio workstation that can take 
care of all your recording needs, and it's even optimized for 
OS X. Not just great for music, Deck can be used for film, video,
and numerous other applications. Get on Deck:http://clickthru.online.com/Click?q=ca-iciuQUgFRLpNVUXcl8jfOfRHHUnR Also this week, we've got Captain FTP, for an easy way to
transfer files; AquilaCalendar, to get you organized under OS X;
Tex-Edit Plus, a full-featured alternative to the pricier
text editors; and Boom, a remake of one of the great classic
arcade games.Enjoy!Jason Parker
Assistant Editor, CNET Download.com
--(Unsubscribe instructions are at the bottom of this
newsletter.)<---------------Advertisement--------------->Gateway Thin & Light PCs ",Safe Email,Phishing Email,0.993778,0.006222
"CNET | DOWNLOAD DISPATCH(Mac Edition)
July 16, 2002
Vol. 7, No. 28A Screen DreamGood Mac screensavers are hard to come by. And screensavers are
important: not only do they preserve your screen quality, but
they can also turn your monitor into a conversation piece.
Marine Aquarium, our Pick of the Week, will turn your desktop
into a virtual tropical fish aquarium that will make your Mac
turn some heads. No need to feed:http://clickthru.online.com/Click?q=c2-oXxLQUEkRh6pmyFgVnxXFZcIuInR Also this week, we've got QuickTime 6, the media player's long-
awaited first foray into MPEG-4 technology; Cartoon Editor, a
graphic editor that will help you make QuickTime cartoons;
MoonDock, so you can keep track of moon phases on your desktop;
WebDesign, a full-featured HTML editor with lots of extras; and
Sigma Chess Lite, so you can challenge your mind and develop
your skills at the ancient game of chess.Enjoy!Jason Parker
Assistant Editor, CNET Download.com
--(Unsubscribe instructions are at the b",Safe Email,Phishing Email,0.992772,0.007228
"============================================================
Sponsor a child today through Children International.  Give
a desperately poor child hope for a brighter future.  For
only $15 a month you can make a difference!
http://click.topica.com/caaavgIb1dcmWb2yXQNa/ChildrenInternational
============================================================
--------------------------------------------------------------------
                        DayTips.Com Daily Lists
                              Poem-a-Day
--------------------------------------------------------------------info@daytips.com                              http://www.daytips.com
....................................................................
                            September 13, 2002
....................................................................I.
 From fairest creatures we desire increase,
That thereby beauty's rose might never die,
But as the riper should by time decease,
His tender heir might bear his memory:",Safe Email,Phishing Email,0.990596,0.009404
"URL: http://diveintomark.org/archives/2002/10/09.html#five
Date: 2002-10-09T10:25:09-05:00- _OSNews.com_: Red Hat 8.0 for KDE Users (and Newbies)[1]. 
- _Aaron Swartz_: Trip notes[2]. 
- _Sean Palmer_: The Semantic Web in Haiku[3]. 
- _Shelley Powers_: The Parable of the Languages[4]. 
- _Heather Hamilton_: You only get five[5]. (Mira Sorvino[6], Portia de Rossi
[7], Stockard Channing[8], Jeri Ryan[9] Nigella Lawson[10], and Angelina Jolie
[11]. D gave me her list but wouldn't let me post it. Meh.) [1]  http://www.osnews.com/story.php?news_id=1890
[2]  http://www.aaronsw.com/weblog/000647
[3]  http://infomesh.net/2002/swhaiku/
[4]  http://weblog.burningbird.net/archives/000581.php
[5]  http://www.dooce.com/mtarchives/10_08_2002.html
[6]  http://www.elegantwomen.net/mirasorvino/009.html
[7]  http://www.safesearching.com/portiaderossi/gallery/
[8]  http://images.amazon.com/images/P/0792846486.01.LZZZZZZZ.jpg
[9]  http://www.elegantwomen.net/jeriryan/003.html
[10] http://www.stylenetwork.",Safe Email,Phishing Email,0.990496,0.009504
"URL: http://www.newsisfree.com/click/-2,8418833,215/
Date: 2002-10-01T04:33:51+01:00*Money:* Up to 70,000 former Equitable Life policyholders could be in line for 
compensation as a result of mis-selling of policies.
",Safe Email,Phishing Email,0.989946,0.010054
"URL: http://boingboing.net/#85516136
Date: Not supplied[IMG: http://www.craphound.com/images/hiptopblog.jpg] The T-Mobile Sidekick and 
other instances of the Danger Hiptop PDA/Phone are being promoted as mobile 
blogging tools. Link[1] Discuss[2] (_via Hack the Planet[3]_) 
[1] http://www.hiptop.com/
[2] http://www.quicktopic.com/boing/H/GHXGWhmS5e2
[3] http://wmf.editthispage.com/
",Safe Email,Phishing Email,0.988413,0.011587
"Reflexive Entertainment's Ion Hardie gives us a behind-the-scenes
look at the development of this high-fantasy RPG.
http://clickthru.online.com/Click?q=96-pjnWQtdhIRjzDLPjBQ-faEea09RR Knights of the Old Republic Delayed
Anarchy Online booster packs revealed, Stronghold: Crusader demo
released, Cultures 2 ships, Funcom gets new CEO, and MORE PC NEWS.
http://clickthru.online.com/Click?q=ab-ZcXKQYpMiyC0fCnXDRF5JtAnssRR Gamer Anthopology 101
This week our editors discuss the language of gamers, bad voice
acting, and more.
http://clickthru.online.com/Click?q=c0-kfy-QWP1dMP-ckw4_3rvnmcUHsRR <---------------Advertisement--------------->Gateway Back to School Deals The Gateway 400 Notebook makes Intel(R) Pentium(R) 4 
power both portable and affordable. With its available 
15"" display and 2.0GHz processor, the Gateway 400 makes
an excellent system for students and teachers.  Only $1399
after $100 mail-in rebate.  click here for details!http://clickthru.online.com/Click?q=d6-yw3KQMPMLamOaNrnsql",Safe Email,Phishing Email,0.987616,0.012384
"Perhaps it's time to revisit ...http://www.engrish.com/recentdiscoveries.html""evirob"" is the essence of weird life.http://xent.com/mailman/listinfo/fork
",Safe Email,Phishing Email,0.987077,0.012923
"URL: http://boingboing.net/#85481526
Date: Not suppliedThe good folks at ResearchBuzz have released a groovy Google API tool, ""The 
Suffix Census."" Enter your search terms, and the census will tell you how many 
of the results are in .NET, .COM, .ORG, and other top-level domains. Link[1] 
Discuss[2] (_via ResearchBuzz[3]_)[1] http://www.buzztoolbox.com/google/suffixcensus.shtml
[2] http://www.quicktopic.com/boing/H/k9WDFNMrPbW5
[3] http://www.researchbuzz.com/
",Safe Email,Phishing Email,0.985630,0.014370
"URL: http://boingboing.net/#85485759
Date: Not supplied[IMG: http://www.craphound.com/images/nanodog.jpg] Matt ""Warchalking"" Jones has 
come up with a bio-dog for the latest Viridian Design Contest[1], called Von 
Neumann's Best Friend. Link[2] Discuss[3] (_Thanks, Matt[4]!_) 
[1] http://www.viridiandesign.org/notes/301-350/00332_biofuture_robot_dog_contest.html
[2] http://www.blackbeltjones.com/vonneumann/vonneumann.gif
[3] http://www.quicktopic.com/boing/H/ejEDBhNuW3Nt
[4] http://www.blackbeltjones.com/work/
",Safe Email,Phishing Email,0.984943,0.015057
"URL: http://boingboing.net/#85524777
Date: Not suppliedThe WSJ has published a round-up of phone companies, wired and wireless, 
ranking them based on performance and price. They don't mention Nextel, whose 
hullking milspec i700 handset I've been carrying for years now, with incredible 
reception all over the US and Canada. Their front-line customer service sucks, 
but the prices and network can't be beat.     T-Mobile is in the midst of a massive makeover. In recent months, the 
    company changed its name and launched an ad campaign featuring Ms. Zeta 
    Jones.     The company has a history worth hiding. T-Mobile, a subsidiary of Deutsche 
    Telekom, is known for having a weak national network, and the FCC received 
    1,466 complaints about the company in the past year, giving it one of the 
    worst complaint rates in the industry. T-Mobile says their complaint rate 
    has tapered off and that they have made substantial network improvements.     But T-Mobile is the cheape",Safe Email,Phishing Email,0.983556,0.016444
"URL: http://www.newsisfree.com/click/-4,8290377,1717/
Date: 2002-09-26T21:38:23+01:00[IMG: http://www.newsisfree.com/Images/fark/cnn.gif ([CNN])]
",Safe Email,Phishing Email,0.983016,0.016984
"http://www.thecliffguy.com/cliffs.htmNumerous artists drawing characters on a cliff.
",Safe Email,Phishing Email,0.982887,0.017113
"
It took me a week to get down to this;
The towering pine and the hemlock.
http://www.informationweek.com/story/IWK20020723S0005
http://xent.com/mailman/listinfo/fork
",Safe Email,Phishing Email,0.982871,0.017129
"URL: http://boingboing.net/#85481504
Date: Not suppliedCarny concessionaires have taken to selling deep-friend Twinkies, doing big 
business with artery-clogging horripilations:     In what may be the biggest setback for the war on fat since supersize 
    fries, Americans are scarfing down thousands of the gooey, calorie-laden 
    snack cakes at county fairs and restaurants across the country.     ""We sold 26,000 Twinkies in 18 days. People drove for hours just to taste 
    our Twinkie,"" said Rocky Mullen, who sells the deep-fried, cream-filled 
    treats for $3 (U.S.) each at the Payallup Fair, 50 kilometres south of 
    Seattle.     As if Twinkies are not sweet enough already, vendors such as Mr. Mullen add 
    chocolate or berry sauce and sprinkle powdered sugar on top...     Hearing about Mr. Sell's invention, Hostess, the company that makes the 
    71-year-old snack, started promoting deep-fried Twinkies to state and 
    county fairs, where a captive population of junk-foo",Safe Email,Phishing Email,0.980037,0.019963
"URL: http://www.newsisfree.com/click/-3,8483157,1440/
Date: Not suppliedContrary to popular belief, a new study shows women receive the same mental 
health boost from marriage as men
",Safe Email,Phishing Email,0.977852,0.022148
info hpuente @ epelectric . com 915 - 543 - 4333,Safe Email,Phishing Email,0.976153,0.023847
"URL: http://boingboing.net/#85537486
Date: Not suppliedSteve sez: ""It's tragic when life imitates Wile E. Coyote cartoons. Guy 
boobytraps his house to get his family if they try to break in, and seemingly 
is killed himself by his own traps."" Link[1] Discuss[2] (_Thanks, Steve[3]!_)[1] http://story.news.yahoo.com/news?tmpl=story2&cid=573&ncid=757&e=2&u=/nm/20021007/od_nm/boobytraps_dc
[2] http://www.quicktopic.com/boing/H/K9nShVkkrRxi
[3] http://www.portigal.com
",Safe Email,Phishing Email,0.976119,0.023881
"URL: http://www.newsisfree.com/click/-4,8723993,215/
Date: 2002-10-10T03:26:58+01:00Toumai, hailed as our oldest ancestor, is stirring ancient scientific 
rivalries.ï¿½Quizzes[1]ï¿½| Crossword[2]ï¿½| Interactive guides[3]ï¿½| Steve Bell[4]ï¿½| 
Weblog[5]ï¿½*Other news and comment**Blair ready to suspend Stormont*[6][1] http://www.newsisfree.com/quiz/0,7476,349695,00.html
[2] http://www.newsisfree.com/crossword/0,4406,180778,00.html
[3] http://www.newsisfree.com/interactive/0,2759,192055,00.html
[4] http://www.newsisfree.com/cartoons/0,7371,337484,00.html
[5] http://www.newsisfree.com/weblog/0,6798,517233,00.html
[6] http://www.newsisfree.com/Northern_Ireland/Story/0,2763,808962,00.html
",Safe Email,Phishing Email,0.976029,0.023971
